id,additional_information,source_comments
113435,"The National Agency of National Parks (ANPN) has just carried out a big net at MinkÃ©bÃ© National Park in Woleu-Ntem. 200 kilograms of ivory and 30 tails of elephants were taken from poachers after an exchange of fire with the ecoguards. National Park Agency (ANPN) ecoguards defeated poachers at MinkÃ©bÃ© National Park in Woleu-Ntem. After an exchange of fire on 30 September, the ""guarantors"" of the natural sites recovered the ""booty"" of the illegal hunters.
https://www.gabonreview.com/blog/lutte-anti-braconnage-la-belle-prise-de-lanpn-a-minkebe/","Gabon Review; 2019-10-02; illegal killing and seizure of 200 kg of raw ivory and 30 elephant tails at MinkÃ©bÃ© National Park, Gabon
https://www.gabonreview.com/blog/lutte-anti-braconnage-la-belle-prise-de-lanpn-a-minkebe/"
113460,"Benon Bob Bwanika, a milkman, was on Tuesday [22/10/2019] fined or spends two years in Luzira Prisons on default by the Grade One Magistrate. The Standard Utilities and Wildlife Court at Buganda Road in Kampala has convicted and fined a man sh5m for being in illegal possession of protected species contrary to sections 30 and 75 (b) of the Uganda Wild Life Act Cap, 200. Prosecution alleged that on July 31, 2019, at Wanseko trading Centre in Buliisa district, Bwanika had in his possession six pieces of elephant tusks weighing 60.54kg valued at approximately over sh163m, without a valid wildlife use right.
https://www.newvision.co.ug/new_vision/news/1509100/convicted-fined-sh5m-illegal-possession-ivory
https://www.africanelephantjournal.com/man-fined-sh5m-over-illegal-possession-of-ivory-uganda/","New Vision; 2019-10-23; possession of 6 pieces of tusks weighing a total of 60.54 kg; one arrest in Buliisa district, Uganda
https://www.newvision.co.ug/new_vision/news/1509100/convicted-fined-sh5m-illegal-possession-ivory

Journal of African Elephants; 2019-10-24; same info as above (website text is identical)
https://www.africanelephantjournal.com/man-fined-sh5m-over-illegal-possession-of-ivory-uganda/"
113533,"A few days ago, the customs of Jinan Post Office seized 2 pieces of ivory jewelry totaling 120 grams in commercial express shipments imported from the United States. Customs officers detain them in accordance with the law. According to the on-site customs officer, when the machine inspection of the commercial express entering the country was carried out that morning, it was found that a parcel declaration sent from the United States was called a trinket, and its contents were imaged as necklaces, and the X-ray machine judged that the image was highly suspected of ivory products. After the on-site customs officer temporarily detained the parcel, it was further opened and found that there were 2 necklaces inside, all of which were made of ivory after preliminary identification using a Raman substance monitor.
http://www.dzwww.com/shandong/sdnews/201903/t20190330_18559697.htm","dzwww.com; 2019-03-30; 2 worked ivory pieces weighing a total of 120 g seized by Jinan Post Office Customs
http://www.dzwww.com/shandong/sdnews/201903/t20190330_18559697.htm"
113544,"Tanzanian police said they have seized 11 pieces of ivory valued at 137.9 million Tanzanian shillings (about 60,000 U.S. dollars) and arrested four suspects. Ulrich Matei, the Mbeya regional police commander, said the suspects were arrested at Soweto area in Mbeya city on December 21 afternoon. ""The suspects were ferrying the ivory pieces from Njombe region to Mbeya city,"" he told a news conference, adding that investigations were continuing to establish their final destination.  Matei identified the suspects as Abdulmark Upete, a resident of Uyole in Mbeya city, Mohamed Omary, a resident of Kilosa in Morogoro region, Ayoub Kindumba, a resident of Ilembula in Njombe region and Lawi Kalonga, a resident of Dodoma. On arrival in Mbeya city, the suspects concealed the ivory pieces in a plastic bag and kept the bag inside a shop, said Matei.
http://www.xinhuanet.com/english/2019-12/25/c_138655425.htm
http://www.china.org.cn/world/Off_the_Wire/2019-12/25/content_75546288.htm","Xinhua News Agency; 2019-12-25; seizure of 11 raw ivory pieces worth 137.9 million Tanzanian shillings; four arrests in Mbeya, Tanzania
http://www.xinhuanet.com/english/2019-12/25/c_138655425.htm

China.org.cn; 2019-12-25; same info as above (website text is identical)
http://www.china.org.cn/world/Off_the_Wire/2019-12/25/content_75546288.htm"
114752,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

Two teachers and five other people from Muanza district in Sofala province, including a smallholder and a public administration technician, were arrested this weekend while trying to sell two elephant tusks and the skin of a leopard for 44,000 meticais (24,000 for the tusks and 20,000 for leopard skin). The main suspect, the alleged smallholder, claimed that he found the items in a stream and asked the two teachers and the civil servant to help him sell them. The group took the train from Muanza to Dondo, where they met a middleman between the poachers and the buyer at the railway station. Thanks to a popular tip-off, the police were aware of attempted negotiations. All those involved were arrested and confessed to the crime.
https://clubofmozambique.com/news/seven-arrested-on-poaching-related-charges-in-sofala-179297/?utm_source=The+Mozambican+Investor_&utm_campaign=a98b513753-EMAIL_CAMPAIGN_2017_05_25_COPY_01&utm_medium=email&utm_term=0_d3b369a42d-a98b513753-237812006","Club of Mozambique; 2020-12-07; attempt to sell 2 tusks for 24,000 meticais; seven arrests in Sofala province, Mozambique
https://clubofmozambique.com/news/seven-arrested-on-poaching-related-charges-in-sofala-179297/?utm_source=The+Mozambican+Investor_&utm_campaign=a98b513753-EMAIL_CAMPAIGN_2017_05_25_COPY_01&utm_medium=email&utm_term=0_d3b369a42d-a98b513753-237812006"
114755,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

A 34-year-old man was arrested with two elephant tusks in Subhanpura area of the city on Thursday. Acting on a tip off, the Vadodara forest department along with the Vadodara police laid down a trap and visited the accused, Vinayak Purohit, at his residence as dummy customers. Purohit was caught red-handed while trying to sell the tusks. According to the police, Purohit informed them that his grandfather had brought the tusks from Africa in the late 1960s. Since he was facing financial crisis, he had decided to sell them and fetch a hefty price. The police are, however, yet to ascertain these facts. The two tusks weighing around 2 kg each and 110 cm long have been seized by the forest department and have been sent for testing. Police have booked him under relevant sections of the Wildlife Protection Act and are carrying out investigations to ascertain the facts. â€œThe tusks have been sent for examination to check exactly how old are they and if the claims are true. Depending upon the results, we will take the investigation further if any more persons were involved and where he exactly got the tusks,â€ a police official said.
https://indianexpress.com/article/cities/ahmedabad/vadodara-34-year-old-man-arrested-with-two-elephant-tusks-6290184/","The Indian Express; 2020-02-28; seizure of 2 tusks weighing a total of about 4 kg; one arrest in Vadodara City, India
https://indianexpress.com/article/cities/ahmedabad/vadodara-34-year-old-man-arrested-with-two-elephant-tusks-6290184/"
114785,"Binh Duong Police arrest online seller On Jul. 5, 2019, Binh Duong Police confiscated two tiger (Panthera tigris) claws and an ivory bracelet from a man who was advertising wildlife for sale on social media. The arrest followed ENV submission of a Law Enforcement Evidence Profile to police that documented evidence of specific crimes and profiled the subject (Case ref. 13564/ENV).
https://env4wildlife.org/wp-content/uploads/2021/02/WCB-No.-1-2020-Mar.-16-2020.pdf","ENV Wildlife Crime Bulletin; 2020; seizure of 1 ivory bracelet; one arrest in Binh Duong, Viet Nam
https://env4wildlife.org/wp-content/uploads/2021/02/WCB-No.-1-2020-Mar.-16-2020.pdf"
114797,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

Four (4) suspected traffickers were arrested in Kandi town on Saturday October 17, 2020 with four (4) elephant ivory tips weighing 10.5 kg. The arrest was made thanks to the dynamism of the elements of the Republican Police of the locality, of the Forest Administration and of the Management of Park W.
https://eagle-benin.org/2020/10/21/lutte-contre-la-criminalite-faunique-10-5-kg-divoires-saisis-4-presumes-trafiquants-arretes-a-kandi/","Benin-AALF-B; 2020-10-21; seizure of 4 tusks weighing a total of 10.5 kg; four arrests in Kandi Town, Benin
https://eagle-benin.org/2020/10/21/lutte-contre-la-criminalite-faunique-10-5-kg-divoires-saisis-4-presumes-trafiquants-arretes-a-kandi/"
118656,"Republic World; 2023-01-14
In a massive recovery, antiques worth about Rs 100 crore were seized from West Bengalâ€™s Deganga Basirhat around 4pm on Friday. A man named Asaduzzaman's home is where this enormous amount of material was found. It was the largest antique operation in West Bengal, according to officials of the Administration General and Welfare Trustee's office who carried out the raid and retrieved the items. The materials include elephant tusks, deer legs, statues of ancient gods and many other items. Their total market value is said to be about Rs 100 crore according to the officials of Administration General and Welfare Trustee office who raided the house of Asaduzzaman.
https://www.republicworld.com/india-news/general-news/antiques-worth-rs-100-crore-seized-from-west-bengal-including-elephant-tusks-articleshow.html

News 9 Live; 2023-01-14
Antiques worth around Rs 100 crore were seized from the house of a businessman in Deganga in West Bengalâ€™s North 24 Parganas district, TV9 Bharatvarsh reported. The officials from the Administration General and Welfare Trusteeâ€™s office, who conducted the raid earlier on Friday and recovered the items, claimed that it was West Bengalâ€™s largest antique operation. Antiques worth around Rs 100 crore were seized from the house of a businessman in Deganga in West Bengalâ€™s North 24 Parganas district, TV9 Bharatvarsh reported.  Among the materials recovered were elephant tusks, deer legs, statues of ancient gods, and a variety of other items from the Mauryan and Kushan periods. The officials said the combined market value of the recovered items is estimated to be around Rs 100 crore. The businessman named Asaduzzaman lives in Hadipur with his wife and three daughters. Several people in the neighbourhood were aware of his interest in collecting antiques. The Archaeological Survey of India (ASI) officials came to know that Asaduzzaman, who runs a business of flower shops, had kept these artefacts with him during the fair at Chandraketugarh. Biplab Roy, the current Administrator General and Official Trustee of West Bengal, learned from Asaduzzamanâ€™s neighbours that he has amassed a collection of over 15,000 artefacts. Roy approached him after learning of this information and introduced himself as an antiques collector. After a while, the businessman led Roy to his godown, where the officials arrived and the antiques were confiscated.
https://www.news9live.com/state/west-bengal/antiques-worth-rs-100-crore-seized-from-businessman-in-west-bengal-au1779-2025545","Republic World; 2023-01-14; unknown amount of tusks seized alongside antiques worth about Rs 100 crore
https://www.republicworld.com/india-news/general-news/antiques-worth-rs-100-crore-seized-from-west-bengal-including-elephant-tusks-articleshow.html

News 9 Live; 2023-01-14; same info as above
https://www.news9live.com/state/west-bengal/antiques-worth-rs-100-crore-seized-from-businessman-in-west-bengal-au1779-2025545"
120186,"Deccan Herald; 2023-11-07
Five people were caught red-handed by the Vyalikaval police while attempting to sell wildlife articles. The police caught the culprits in separate instances. Those arrested have been identified as Shekar K M, 40, from Nagamangala in Mandya, and Raymond, 45, from Kanakapura, who were attempting to sell staghorn ferns. Chandrashekar M D, 43, from Mysuru, was arrested for possession of a red sand boa. The suspects arrested for attempting to sell an elephant tusk were Rangaswamy, 38, from Tumakuru, and Lokesh, 33, from Ramanagara. The seizures by the Vyalikaval police include 12 staghorn ferns, two red sand boas, and an elephant tusk. The seized elephant tusk is about 10 inches in length, while the staghorn ferns vary in length from 1.5 to 2 feet. The estimated worth of the staghorn ferns is Rs 12 lakh, the elephant tusk at Rs 5 lakh, and the two red sand boas at Rs 10 lakh. An investigating officer told DH that the ferns were procured from Kanakapura, the elephant tusk from Hunsur near Mysuru, and the boas were reportedly bought from Tamil Nadu. Based on confirmed leads from informants, the suspects were observed for fifteen days, and their movements were monitored by the police before they were caught red-handed on Ballari Road near Guttahalli.
https://www.deccanherald.com/india/karnataka/illegal-wildlife-trade-five-men-caught-red-handed-in-bengaluru-2761189","Deccan Herald; 2023-11-07; possession and attempt to sell 1 tusk worth Rs 5 lakh; two arrests near Guttahalli
https://www.deccanherald.com/india/karnataka/illegal-wildlife-trade-five-men-caught-red-handed-in-bengaluru-2761189"
120184,"The Times of India; 2023-11-08
A 29-year-old man was arrested from Kembanur village on Tuesday for illegal possession of a pair of spotted deer's horns and a piece of elephant tusk for sale. The Thondamuthur police arrested him based on a tip-off and seized the items from him. He was later handed over to Coimbatore forest range officials, for further investigation. The accused was identified as D Madan, 29, of Kembanur village near Thondamuthur in Coimbatore district. Madan was in an inebriated state when arrested and not in a position to reveal how he acquired the piece of tusk and horns. However, he later told officials that he had befriended a tribal man Rangaraj from Attukkal who had collected the horns and the piece of tusk from the reserve forest. Rangaraj is absconding and the forest department has sent a five-member team to Attukkal to trace his whereabouts. Further investigation is on.
https://timesofindia.indiatimes.com/city/coimbatore/man-held-with-pair-of-deer-horns-and-a-piece-of-elephant-tusk/articleshow/105055117.cms","The Times of India; 2023-11-08; possession of 1 piece of tusk; one arrest in Kembanur village
https://timesofindia.indiatimes.com/city/coimbatore/man-held-with-pair-of-deer-horns-and-a-piece-of-elephant-tusk/articleshow/105055117.cms"
119333,"On August 22, 2022, two antique grand pianos with ivory keys, built in 1896 and 1910, were to be declared for free circulation at the East Customs Office in Wickede. However, the import of ivory, even if it is over 100 years old, is prohibited under the Washington Convention on International Trade in Endangered Species of Wild Fauna and Flora without prior approval from the Federal Agency for Nature Conservation. However, the recipients of the shipment, a company in northern Germany and a company in southern Germany, were unable to present the mandatory species protection documents for import. The customs officers therefore confiscated both wings. They are now kept at a piano company.
https://www.zoll.de/SharedDocs/Pressemitteilungen/DE/Artenschutz/2022/z90_antike_fluegel.html","Zoll Online; 2022-08-24; import of 2 grand pianos with ivory keys in Wickede
https://www.zoll.de/SharedDocs/Pressemitteilungen/DE/Artenschutz/2022/z90_antike_fluegel.html"
118661,"China.org.cn; 2023-01-27
Tanzanian police said on Friday they seized 17.68 kilograms of gold and six elephant tusks weighing 39.34 kilograms in Tanzania's northern region Mara bordering Kenya. Geofrey Sarakikya, the Tarime-Rorya regional police commander, said the gold and elephant tusks were seized in a special crackdown conducted between Dec. 1, 2022, and Jan. 26, 2023. Sarakikya told a news conference that scores of suspects have been arrested in connection with the impounded gold and elephant tusks. He said during the operation, police in collaboration with other security agencies destroyed one hectare of cannabis and arrested four suspects in connection with growing the cannabis illegally. Sarakikya urged members of the public to continue cooperating with the law enforcers in unearthing criminal acts.
http://www.china.org.cn/world/Off_the_Wire/2023-01/27/content_85075800.htm","China.org.cn; 2023-01-27; possession of 6 tusks weighing 39.34 kg; four arrests in Tanzania's northern region Mara bordering Kenya
http://www.china.org.cn/world/Off_the_Wire/2023-01/27/content_85075800.htm"
120215,"The Star; 2023-11-23
Two suspected poachers were on Tuesday arrested while trying to sell three pieces of elephant tusks valued at Sh1 million in Lodwar, Turkana. The men were carrying the tusks weighing about 9.8 kilograms when they were intercepted by police and officers from the Kenya Wildlife Service. Police said they were on a motorcycle when they were stopped. The motorcycle was detained at the local police station as the officials investigated the source of the ivory. Multi-agency teams have enhanced operations on crime in the country and beyond. Police said they will be charged with the offence of being in Possession of Wildlife Trophies of Endangered Species Contrary to Section 92(4) of the Wildlife Conservation Management Act 2013. Officials said the seizure shows an elephant was killed and they are investigating to know where the incident happened.
https://www.the-star.co.ke/news/realtime/2023-11-23-two-arrested-with-sh1-million-elephant-tusks-in-lodwar/","The Star; 2023-11-23; attempt to sell 3 pieces of tusks weighing about 9.8 kg and worth Sh1 million; two arrests in Lodwar
https://www.the-star.co.ke/news/realtime/2023-11-23-two-arrested-with-sh1-million-elephant-tusks-in-lodwar/"
118684,"Xinhua News Agency; 2023-02-14
Customs officials have seized three ivory items weighing about 1 kg in total from an imported package in Changsha, the capital of central China's Hunan Province. Changsha Customs said they found the three artifacts hidden in a package declared as glass cups and cigarette holders and later identified them as modern-day ivory products. The seizure made on Feb. 9 was the largest of its kind reported by Changsha Customs since 2020, according to customs officials.
https://english.news.cn/20230214/1c42e6baccaf4bc19eba0859b47c6b30/c.html","Xinhua News Agency; 2023-02-14; seizure of 3 worked ivory items weighing about 1 kg by Changsha Customs
https://english.news.cn/20230214/1c42e6baccaf4bc19eba0859b47c6b30/c.html"
118647,"duplicate existing record(s): 118434

Independent Online; 2022-12-01
A 39-year-old man is expected to appear before the Calcutta Magistrateâ€™s Court in Bushbuckridge, Mpumalanga, today after he was arrested by the Nelspruit Hawks Serious Organised Crime Investigation, the White River K9 Unit and Mpumalanga Tourism and Parks Authority. The arrest took place during a search-and-seizure operation conducted on November 30 at Cork Trust under the Bushbuckridge policing area, near Kruger National Park. A media statement released by the Hawks Directorate for Priority Crime Investigation stated the arrest occurred after a tip-off was received. The team proceeded to the identified address where, during the search, two elephant tusks were found and seized. The male suspect was arrested and charged under section 22 of the Mpumalanga Nature Conservation Act 10/1998 regarding the illegal possession of ivory. The man was detained pending his first court appearance.
https://www.iol.co.za/news/suspected-poacher-nabbed-with-two-elephant-tusks-8041d475-fe77-4e12-86b2-4dd143040cbd

Sunday World; 2022-12-01
A 39-year-old man was expected to appear before the Calcutta magistrateâ€™s court on Thursday after he was arrested by the Hawksâ€™ serious organised crime investigation team for possession of elephant tusks. The suspect was allegedly apprehended during a search and seizure operation at Cork Trust in Bushbuckridge, Mpumalanga on Wednesday. Police spokesperson Captain Dine Sekgotodi said the Hawks received a tip-off and followed up on the information about illegal elephant poaching. â€œThe team proceeded to the identified address where, during the search, two elephant tusks were found and seized,â€ said Sekgotodi. â€œThe suspect was arrested and charged under section 22 of the Mpumalanga Nature Conservation Act 10/1998 for possession of ivory. The suspect was detained pending his first court appearance.â€
https://sundayworld.co.za/news/mpumalanga-man-in-custody-for-possession-of-elephant-tusks/","Independent Online; 2022-12-01; one arrested for possession of 2 tusks in Bushbuckridge
https://www.iol.co.za/news/suspected-poacher-nabbed-with-two-elephant-tusks-8041d475-fe77-4e12-86b2-4dd143040cbd

Sunday World; 2022-12-01; same info as above
https://sundayworld.co.za/news/mpumalanga-man-in-custody-for-possession-of-elephant-tusks/"
120217,"The Namibian; 2023-11-27
ZAMBEZI regional police arrested two Zambian nationals for possession of 15 elephant tusks in the Kapani area of the Linyanti constituency on Sunday. The two Zambian nationals, aged 29 and 32, were part of a group of seven, however, five escaped with hunting rifles. Regional police spokesperson inspector Kisco Sitali confirmed the arrest to The Namibian on Monday. He said the suspected transnational armed poachers were intercepted while on their way back from Botswana with the elephant tusks. â€œAfter our successful bust of 24 elephant tusks on Friday, we have intensified our joint security cluster operation in the area. It is now evident with these arrests that our suspicion was right that the poachers will continue to use the routes to smuggle the elephant tusks from Botswana to Zambia,â€ he said. The police are hard at work to find and arrest the suspects who fled the scene, Sitali said. Sundayâ€™s arrests follow the bust of 24 elephant tusks on Friday, when a Namibian driver was arrested in the Batubaja area and seven Zambian nationals fled the scene. The driver claims that he was only called to transport passengers but did not know that they were in possession of elephant tusks. He is expected to appear in the Katima Mulilo Magistrates Court on Monday, while the suspects arrested on Sunday will appear in court this week.
https://www.namibian.com.na/zambezi-police-make-another-elephant-tusk-bust/","The Namibian; 2023-11-27; smuggling of 15 tusks from Botswana to Zambia; two Zambian national arrested in the Kapani area
https://www.namibian.com.na/zambezi-police-make-another-elephant-tusk-bust/"
118741,"Duplicate of 119007

EAGLE; 2022-11-11
3 ivory traffickers arrested with 4 pieces of tusks weighing 26 kg. Their criminal operation stretched to Mali where this ivory was trafficked from. The markings on the ivory indicates corruption in Mali, authorities reselling of seized contraband back to criminals. The traffickers used a vehicle to move the contraband that was hidden in cardboard boxe.
https://www.eagle-enforcement.org/news/3-ivory-traffickers-arrested-with-4-tusks-A753/","EAGLE; 2022-11-11; possession of 4 raw ivory pieces weighing 26 kg trafficked from Mali; three arrests in Ivory Coast
https://www.eagle-enforcement.org/news/3-ivory-traffickers-arrested-with-4-tusks-A753/"
118737,"Independent; 2023-03-11
Three suspected poachers have been detained by Tanzanian police after they were found in possession of six elephant tusks in the country's northern region of Manyara, police said on Saturday. George Katabazi, the Manyara regional police commander, said the suspected poachers were arrested on Friday at 9 p.m. local time in Madunga village in Babati district in the region. ""The suspects were riding on two motorcycles that they used to ferry the tusks,"" said Katabazi. He said the suspects were arrested during a joint crackdown conducted by police and game rangers from the Tanzania Wildlife Management Authority (TAWA) after they were tipped off by members of the public.
https://independent.ng/3-suspected-poachers-arrested-with-6-elephant-tusks-in-northern-tanzania/
http://www.china.org.cn/world/Off_the_Wire/2023-03/12/content_85162073.htm
https://www.punjabnewsexpress.com/world/news/3-suspected-poachers-held-with-6-elephant-tusks-in-tanzania-202574","Independent; 2023-03-11; possession of 6 tusks; three arrests in Madunga village
https://independent.ng/3-suspected-poachers-arrested-with-6-elephant-tusks-in-northern-tanzania/

China.org.cn; 2023-03-12; same info as above (website text is identical)
http://www.china.org.cn/world/Off_the_Wire/2023-03/12/content_85162073.htm

Punjab News Express; 2023-03-12; same info as above (website text is identical)
https://www.punjabnewsexpress.com/world/news/3-suspected-poachers-held-with-6-elephant-tusks-in-tanzania-202574"
118690,"Millennium Post; 2023-03-05
Belakoba Range of Baikunthapur Forest division seized an elephant tusk weighing around 3 kg and apprehended a person in this connection from Tinbatti more on the outskirts of Siliguri on Saturday evening. The accused was produced before the Jalpaiguri court on Sunday. He has been sent to judicial custody for 14 days. The forest officials have identified the accused as Manikant Gowala, a resident of Alipurduar. According to the forest officials, based on source information, Ranger Sanjay Dutta accompanied by other foresters and police personnel conducted a raid and apprehended a person. Upon asking the person if he was carrying any contraband items, he pointed out to a plastic cement bag from where the ivory was recovered. Failing to produce any valid documents for the ivory recovered, the person was arrested. Sanjay Dutta, Ranger of Belakoba Range said: â€œThe ivory was being smuggled from Assam. The ivory recovered weighs 3 kg and is 3 feet long. The accused had plans to sell the ivory at Rs 15 lakh. The other person managed to flee from the spot. Investigation is on to trace him and others involved in this wildlife smuggling racket.â€ According to the wildlife experts, Indian (Asian) Elephant (Elephas maximus) is listed in Appendix I of the CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora) and also listed under Sl no: 12B of Part I of Schedule I of the Wild Life Protection Act, 1972. As per the ITC (HS) Classifications for Imports under Schedule I of the Import Policy of the Government of India, the import of wild animals (including their parts and products) as defined in the Wild Life (Protection) Act, 1972 is prohibited.
https://www.millenniumpost.in/bengal/siliguri-one-arrested-with-tusk-weighing-around-3kg-510824

The Statesman; 2023-03-06
Officials of the Belakoba forest range on Sunday seized one piece of elephant ivory, weighing three kgs, and arrested one person, accused of smuggling, in West Bengalâ€™s Jalpaiguri district. The accused person is identified as Manikant Gowala (32), a resident of DRM Math of Alipurduar district of West Bengal state. â€œOwing to secret information, about a consignment of elephant tusks being transected at NH-31 near Tinbatti more area in Siliguri, the troops of the BelaKoba forest range, under the Baikunthapur forest division, immediately rushed to the spot and found three persons involved in illegal trading of the ivory,â€ forest department said. The team arrested one person, while the other two managed to flee the spot. During the thorough search, the team found one elephant ivory concealed in a bag, weighing around 3 kg with a length of 2.9 ft. The consignment was supposed to be smuggled to Nepal through the Siliguri corridor, forest officials said. Manikant has been booked under several sections of the Wildlife (Protection) Act 1972 and will be produced before the Jalpaiguri district court. The investigation into this matter is underway. Further information is awaited.
https://www.thestatesman.com/bengal/west-bengal-forest-officials-foil-smuggling-bid-3-kgs-of-elephant-ivory-seized-1-held-1503159732.html

The Telegraph; 2023-03-06
A tusk of an elephant that was recently killed in Assam was recovered by foresters of Baikunthapur forest division in Siliguri on Saturday evening. The tusk was to be sold for Rs 15 lakh in Nepal. Sources said that Alipurduar resident Manikant Gowala, who was carrying the tusk weighing 3kg, was also arrested. Following a tip-off, a team of foresters of Belakoba range led by ranger Sanjay Dutta conducted a raid near Tinbatti More located on the outskirts of the city. â€œWhen we reached the spot, we saw three persons bargaining beside an eatery. We tried to catch all of them, but two managed to flee. We, however, managed to arrest Gowala,â€ said, a source. The foresters found Gowala had the tusk inside a gunny bag that he had on him. â€œThe tusk weighs 3kg. We asked him to show relevant documents that allowed him to carry wildlife body parts. When he failed to produce any, we arrested him under Wildlife (Protection) Act, 1972,â€ said the official. During the preliminary probe, the foresters came to know that an elephant was recently killed in a forest in Assam. â€œThe tusk was procured from that elephant and a deal of Rs 15 lakh had been struck for it,â€ said an official. Sources said Gowala confessed that he was part of a gang involved in illegal trade related to wildlife. Probe into details of the gang and the sale of the tusk is on.
https://www.telegraphindia.com/west-bengal/one-held-with-3kg-tusk-in-gunny-bag/cid/1920641","Millennium Post; 2023-03-05; attempt to sell 1 raw ivory piece weighing around 3 kg; one arrest in Siliguri
https://www.millenniumpost.in/bengal/siliguri-one-arrested-with-tusk-weighing-around-3kg-510824

The Statesman; 2023-03-06; same info as above
https://www.thestatesman.com/bengal/west-bengal-forest-officials-foil-smuggling-bid-3-kgs-of-elephant-ivory-seized-1-held-1503159732.html

The Telegraph; 2023-03-06; tusk to be sold for 15 lakh in Nepal
https://www.telegraphindia.com/west-bengal/one-held-with-3kg-tusk-in-gunny-bag/cid/1920641"
118754,"Weixin.qq; 2022-07-16
Recently, when supervising an inbound flight, Chongqing Jiangbei Airport Customs found that a passenger's carry-on baggage X-ray machine image was abnormal, and after opening and inspection by the customs officer on site, 1 suspected ivory bracelet and 1 suspected ivory bracelet were found, with a total net weight of 120.27 grams. It has been identified as a modern ivory product.
https://mp.weixin.qq.com/s/WJZ2pf3EY_SyY_-Q6SEBhA","Weixin.qq; 2022-07-16; seizure of 2 pieces of worked ivory weighing a total of 120.27 g by Chongqing Jiangbei Airport Customs
https://mp.weixin.qq.com/s/WJZ2pf3EY_SyY_-Q6SEBhA"
118755,"Weixin.qq; 2022-07-16
A few days ago, when the customs officer of Guangzhou Baiyun Airport under Guangzhou Customs was supervising an inbound flight, he found a milky white bracelet wrapped around the right wrist of a male passenger. The customs officer immediately inspected it and found that the surface texture of the bracelet was highly similar to the ""litz pattern"" unique to ivory, and it was suspected to be an ivory product. After being sent to a professional testing agency for identification, it was determined to be a modern elephant ivory product, weighing about 70 grams.
https://mp.weixin.qq.com/s/WJZ2pf3EY_SyY_-Q6SEBhA","Weixin.qq; 2022-07-16; seizure of 1 piece of worked ivory weighing 70 g by Guangzhou Customs
https://mp.weixin.qq.com/s/WJZ2pf3EY_SyY_-Q6SEBhA"
118292,"Duplicate of 118515

The Zimbabwe Republic Police (ZRP) in Victoria Falls arrested Listed Munkuli (35), Kudakwashe Ndlovu (31), Darlington Moyo (35) and Simon Nyoni (45) for unlawful possession of raw ivory at Mhizha turn-off, Matsetsi area. Detectives recovered two elephant tasks weighing 4.28 kgs, 15 lion claws and four lion teeth from the suspects.
https://zwnews.com/four-nabbed-in-possession-of-raw-ivory-15-lion-claws/
https://www.savetheelephants.org/about-elephants-2-3-2/elephant-news-post/?detail=four-nabbed-in-possession-of-raw-ivory-15-lion-claws","Zim News; 2022-08-06; possession of 2 tusks weighing 4.28 kg; four offenders Listed Munkuli, Kudakwashe Ndlovu, Darlington Moyo and Simon Nyoni
https://zwnews.com/four-nabbed-in-possession-of-raw-ivory-15-lion-claws/

Save the Elephants; 2022-08-06; same info as above (website text is identical)
https://www.savetheelephants.org/about-elephants-2-3-2/elephant-news-post/?detail=four-nabbed-in-possession-of-raw-ivory-15-lion-claws"
118761,"Weixin.qq; 2022-09-04
Recently, when the Qianjiang Customs officer under Hangzhou Customs supervised the inbound mail, he found that the five items contained in a mail were milky white and had cross lines, which belonged to the unique ""Liz pattern"" of ivory products. The on-site customs officer immediately took the non-clearance disposal of the mail and handed it over to a professional institution for appraisal. After identification, it was determined that these five items were modern elephant ivory products of the proboscis family of mammalians, which belonged to the endangered wild animals and plants products protected in Appendix I of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). At present, the relevant items have been temporarily detained by Qianjiang Customs in accordance with the law and will be further disposed of.
https://mp.weixin.qq.com/s/hiti_dEVnBaEImZt8Rf6Nw","Weixin.qq; 2022-09-04; seizure of 5 pieces of worked ivory by Qianjiang Customs
https://mp.weixin.qq.com/s/hiti_dEVnBaEImZt8Rf6Nw"
118767,"Weixin.qq; 2022-09-17
Recently, Chengdu Shuangliu Airport Customs used the ""Golden Eye of Fire"" - intelligent map review system to seize a modern elephant ivory product weighing 45 grams from the bottom of a passenger's suitcase. Customs reminds that ivory and its products are protected species under Appendix I of the Convention on International Trade in Endangered Species of Wild Fauna and Flora. In addition to holding a certificate of import and export, any form of trade or the carrying or mailing of endangered species such as ivory and their products into or out of the country is illegal and will be investigated for legal responsibility.
https://mp.weixin.qq.com/s/UNc24oSigy3cZsf4ZpyB3A","Weixin.qq; 2022-09-17; seizure of 1 piece of worked ivory weighing 45 g by Shuangliu Airport Customs
https://mp.weixin.qq.com/s/UNc24oSigy3cZsf4ZpyB3A"
